Estimate Status,Year,Common Name,Fishing Mode,Total Harvest (A+B1),PSE,Harvest (A+B1) Total Weight (lb),PSE,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate
FINAL,2012,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,"9,254",73.1,"20,913",86.1,"9,486",86.1,"1,528",0%,0%,0%
FINAL,2013,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,"2,147",53.7,"3,653",100.5,"1,657",100.5,"1,111",0%,0%,0%
FINAL,2014,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,166,100.1,0,.,0,.,166,0%,0%,0%
FINAL,2015,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,"1,708",83.8,597,.,271,.,"1,407",0%,0%,0%
FINAL,2016,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,238,70.9,0,.,0,.,238,0%,0%,0%
FINAL,2017,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,920,42.9,"1,295",37.8,588,37.8,149,0%,0%,0%
FINAL,2018,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,"2,151",63.7,"2,520",.,"1,143",.,"1,170",0%,0%,0%
FINAL,2019,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,"20,394",45,"17,810",.,"8,078",.,"15,717",0%,0%,0%
FINAL,2020,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,"4,999",42.7,"10,202",.,"4,628",.,493,10%,0%,0%
PRELIMINARY,2021,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,"2,133",43.2,"1,120",58.3,508,58.3,"1,352",0%,0%,0%
